element_key,latitude,longitude,poi,baseball,tennis,basket,soccer
10873,47.6221371512235,-122.34059445452499,0,0,0,0,0
10874,47.621956721413014,-122.34072339324702,0,0,0,0,0
10877,47.6123583490199,-122.321892686053,0,0,0,0,0
10886,47.615798684258,-122.322021589774,1,0,0,0,0
11018,47.6104336363894,-122.330666296187,0,0,0,0,0
11105,47.6021567878294,-122.33308300711398,0,0,0,0,0
11106,47.6019603137568,-122.333136488839,0,0,0,0,0
11118,47.602674433659146,-122.32904506722151,0,0,0,0,0
11126,47.60546057732329,-122.322439106262,0,0,0,0,0
11129,47.619840380149604,-122.35341060391501,0,0,0,0,0
11130,47.61967891255646,-122.35348681118249,0,0,0,0,0
11133,47.61981527760759,-122.348131248806,0,0,0,0,0
11134,47.619668375497795,-122.34844346890101,0,0,0,0,0
11137,47.6197980174033,-122.340573198981,0,0,0,0,0
11138,47.619624982446496,-122.34047347381599,0,0,0,0,0
11397,47.6120922845485,-122.34371698977101,1,0,0,0,0
11398,47.611965012000105,-122.343612296049,1,0,0,0,0
11590,47.60816450661189,-122.32769820491,1,0,0,0,0
11594,47.6085703570321,-122.32674308508801,1,0,0,0,0
11598,47.609578932016895,-122.32434712958799,0,0,0,0,0
11665,47.605566382697496,-122.331990167831,0,0,0,0,0
11669,47.6080055614081,-122.326112813665,1,0,0,0,0
11670,47.6078738341824,-122.32613495429001,1,0,0,0,0
11673,47.608982253709705,-122.32377810298401,0,0,0,0,0
